ano;trimestre;categoria;tipo;instituicao_financeira;quantidade_total_de_reclamacoes;quantidade_de_clientes_u_0096_fgc;quantidade_total_de_clientes_u_0096_ccs_e_scr;Trimestre_Ano;Ano_Anterior;Delta_Ano;Banco
2017;1;Menos de quatro milhões de clientes;Conglomerado;ABC-BRASIL;7;2846;15653;1-2017;2016;2017-2016;ABC-BRASIL
2017;1;Menos de quatro milhões de clientes;Conglomerado;AGIPLAN;133;3257;318590;1-2017;2016;2017-2016;AGIPLAN
2017;1;Menos de quatro milhões de clientes;Conglomerado;ALFA;71;0;480685;1-2017;2016;2017-2016;ALFA
2017;1;Menos de quatro milhões de clientes;Conglomerado;ANDBANK;2;89;6870;1-2017;2016;2017-2016;ANDBANK
2017;1;Menos de quatro milhões de clientes;Conglomerado;BANCOOB;58;0;1770960;1-2017;2016;2017-2016;BANCOOB
2017;1;Menos de quatro milhões de clientes;Conglomerado;BANESTES;19;860492;1298766;1-2017;2016;2017-2016;BANESTES
2017;1;Menos de quatro milhões de clientes;Conglomerado;BANIF;1;1491;2583;1-2017;2016;2017-2016;BANIF
2017;1;Mais de quatro milhões de clientes;Conglomerado;BANRISUL;366;2462909;4410257;1-2017;2016;2017-2016;BANRISUL
2017;1;Menos de quatro milhões de clientes;Conglomerado;BARIGUI;14;0;32387;1-2017;2016;2017-2016;BARIGUI
2017;1;Mais de quatro milhões de clientes;Conglomerado;BB;9617;48279386;59432237;1-2017;2016;2017-2016;BB
2017;1;Menos de quatro milhões de clientes;Conglomerado;BMG;859;5588;3402623;1-2017;2016;2017-2016;BMG
2017;1;Menos de quatro milhões de clientes;Conglomerado;BMW;1;0;18428;1-2017;2016;2017-2016;BMW
2017;1;Menos de quatro milhões de clientes;Conglomerado;BNP PARIBAS;1168;2350;2731519;1-2017;2016;2017-2016;BNP PARIBAS
2017;1;Mais de quatro milhões de clientes;Conglomerado;BRADESCO;10844;34576814;92106865;1-2017;2016;2017-2016;BRADESCO
2017;1;Menos de quatro milhões de clientes;Conglomerado;BRB;358;588333;821430;1-2017;2016;2017-2016;BRB
2017;1;Menos de quatro milhões de clientes;Conglomerado;BTG PACTUAL;2;4846;40663;1-2017;2016;2017-2016;BTG PACTUAL
2017;1;Mais de quatro milhões de clientes;Conglomerado;CAIXA ECONÔMICA FEDERAL;10804;73507354;84016461;1-2017;2016;2017-2016;CAIXA ECONÔMICA FEDERAL
2017;1;Menos de quatro milhões de clientes;Conglomerado;CCB;284;3666;328050;1-2017;2016;2017-2016;CCB
2017;1;Menos de quatro milhões de clientes;Conglomerado;CITIBANK;350;209719;1307799;1-2017;2016;2017-2016;CITIBANK
